, Gather 8-1
Count, Time
       1, 2.179e-04
       2, 1.950e-04
       4, 1.791e-04
       8, 2.990e-04
      16, 2.792e-04
      32, 2.592e-04
      64, 2.449e-04
     128, 4.690e-04
     256, 2.830e-04
     512, 3.080e-04
    1024, 3.719e-04
    2048, 5.441e-04
    4096, 8.290e-04
    8192, 1.954e-03
   16384, 3.320e-03
   32768, 6.009e-03
   65536, 1.403e-02
  131072, 2.704e-02
  262144, 4.485e-02
  524288, 8.457e-02
 1048576, 1.607e-01
, Gather 8-2
Count, Time
       1, 1.869e-04
       2, 1.731e-04
       4, 1.421e-04
       8, 2.389e-04
      16, 2.770e-04
      32, 2.401e-04
      64, 2.861e-04
     128, 3.309e-04
     256, 3.178e-04
     512, 3.412e-04
    1024, 4.621e-04
    2048, 6.900e-04
    4096, 1.181e-03
    8192, 2.484e-03
   16384, 4.859e-03
   32768, 9.132e-03
   65536, 1.849e-02
  131072, 3.522e-02
  262144, 7.133e-02
  524288, 7.159e-02
 1048576, 1.411e-01
, Gather 8-4
Count, Time
       1, 8.798e-05
       2, 9.680e-05
       4, 1.061e-04
       8, 1.750e-04
      16, 1.750e-04
      32, 1.800e-04
      64, 1.841e-04
     128, 1.910e-04
     256, 1.409e-04
     512, 2.370e-04
    1024, 3.791e-04
    2048, 7.200e-04
    4096, 1.186e-03
    8192, 2.514e-03
   16384, 4.859e-03
   32768, 9.347e-03
   65536, 1.594e-02
  131072, 3.607e-02
  262144, 7.126e-02
  524288, 6.265e-02
 1048576, 1.242e-01
, Gather 8-8
Count, Time
       1, 5.007e-06
       2, 5.007e-06
       4, 5.007e-06
       8, 5.960e-06
      16, 1.001e-05
      32, 8.821e-06
      64, 1.097e-05
     128, 9.775e-06
     256, 1.383e-05
     512, 1.693e-05
    1024, 2.503e-05
    2048, 3.695e-05
    4096, 6.986e-05
    8192, 1.299e-04
   16384, 2.270e-04
   32768, 4.342e-04
   65536, 6.640e-04
  131072, 1.359e-03
  262144, 2.795e-03
  524288, 5.571e-03
 1048576, 1.144e-02